Nube_De_Puntos;Formato;Area;Fecha;Fuente;Tipo_Objeto;No_Objetos;Lugar;Iluminacion;Obj_Similares;No_Similares;Oclusion;Mov_X;Mov_Y;Mov_Z;Grados;No_Capas;Obj_Add;Ambiente
2Body_Middle90_2-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_2-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_2-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_2-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_3-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_3-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_3-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_3-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_4-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_4-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_4-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_4-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_5;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_5-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_5-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_5-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_5-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_6;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_6-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_6-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_6-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle90_6-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_1-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_1-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_1-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_1-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_2-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_2-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_2-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_2-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_3-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_3-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_3-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_3-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_4-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_4-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_4-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_4-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_5;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_5-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_5-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_5-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_5-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_6;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_6-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_6-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_6-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle270_6-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_1-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_1-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_1-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_1-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_2-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_2-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_2-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_2-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_3-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_3-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_3-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_3-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_4-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_4-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_4-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_4-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_5;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_5-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_5-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_5-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_5-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_6;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_6-1;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_6-2;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_6-3;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Body_Middle315_6-4;PNG;300x300;21/02/2023;Lidar;Persona;2;Interior;Natural;Y;1;0;N;N;N;1;60;N;Controlado
2Men_halt_1;PNG;300x300;17/03/2023;Lidar;Persona;2;Exterior;Natural;Y;1;1;N;N;N;1;60;N;Semi-Controlado
2Men_halt_1-1;PNG;300x300;17/03/2023;Lidar;Persona;2;Exterior;Natural;Y;1;1;N;N;N;1;60;N;Semi-Controlado
2Men_halt_1-2;PNG;300x300;17/03/2023;Lidar;Persona;2;Exterior;Natural;Y;1;1;N;N;N;1;60;N;Semi-Controlado
2Men_halt_1-3;PNG;300x300;17/03/2023;Lidar;Persona;2;Exterior;Natural;Y;1;1;N;N;N;1;60;N;Semi-Controlado
2Men_halt_1-4;PNG;300x300;17/03/2023;Lidar;Persona;2;Exterior;Natural;Y;1;1;N;N;N;1;60;N;Semi-Controlado
2Men_halt_2;PNG;300x300;18/03/2023;Lidar;Persona;2;Exterior;Natural;Y;1;1;N;N;N;1;60;N;Semi-Controlado
2Men_halt_2-1;PNG;300x300;18/03/2023;Lidar;Persona;2;Exterior;Natural;Y;1;1;N;N;N;1;60;N;Semi-Controlado
2Men_halt_2-2;PNG;300x300;18/03/2023;Lidar;Persona;2;Exterior;Natural;Y;1;1;N;N;N;1;60;N;Semi-Controlado
2Men_halt_2-3;PNG;300x300;18/03/2023;Lidar;Persona;2;Exterior;Natural;Y;1;1;N;N;N;1;60;N;Semi-Controlado
2Men_halt_2-4;PNG;300x300;18/03/2023;Lidar;Persona;2;Exterior;Natural;Y;1;1;N;N;N;1;60;N;Semi-Controlado
